ID,tweets,neighbor,profile_name,profile_screen_name,profile_description,profile_created_at,profile_location,profile_followers_count,profile_friends_count,profile_fav_count,neighbor_following,neighbor_follower
17461978,"['RT @CarnivalCruise: 🎉 Are you ready to see what our newest ship’s name will be? 🎉 Thanks to all our partners for helping us unbox the name.…\n', 'Who has time for receipts? Not me. @epson receipt scanners make it easy. No mess = no stress! Check it out at https://t.co/ofqbTdz0Qk. https://t.co/BtYwuyz9N5\n', 'Steady wants to encourage you to invest in your financial future. Connect your bank account to @TheSteadyApp and have access to benefits like income insights, online medical visits, and cash grants of up to $1,000! Get started today by visiting https://t.co/5w3AvWd8Q0. #Sponsored https://t.co/ZHBfP5xDMg\n', ""Good one, @rishid. But let’s see if y'all can do better than that. Come on, everybody. Show me your best #HandShaq! #ad https://t.co/xCloeLRfuM https://t.co/urVSOfTmT2\n"", '#lsunationalchamps\n', 'I stand with the student athletes! #WeWantToPlay\n', 'Wish me luck, America. I’m back for #SharkWeek! It all starts TONIGHT at 8p ET on @Discovery, and catch me taking the ultimate plunge on ShaqAttack tomorrow at 9p ET. https://t.co/ZP8Wt5iAfh\n', ""I am joining tennis champion @VenusESWilliams on @Salesforce's #LeadingThroughChange! Join us for an all-star episode today at 10 a.m. PT:\nhttps://t.co/KlAMFBioSe https://t.co/9s0xyP7H36\n"", ""Let’s do it again! Today I'm nominating @TheGeneralAuto\nhttps://t.co/1kBdD3cStS @NBAONTNT @AuthenticBrands\n@Epson in #MyStartingFive to get their employees &amp; customers ready to vote this November.\n\nTake the pledge today &amp; register —&gt; https://t.co/IEmORV5EHl https://t.co/uqSLwRJVeE\n"", 'We did it! The first ever #SHAQvsGRONK had over 9 MILLION live viewers who helped @GRONK and I raise money for the @NAACP and @BGCCAN with 1.25 million meals donated to @FeedingAmerica. A big shoutout to @TheGeneralAuto and everyone who performed. Watch this  👀 (🎥: @lanreako) https://t.co/sf7EVKjROT\n', 'I’m partnering with @WhenWeAllVote to challenge #MyStartingFive @WhoopiGoldberg @jimmykimmel @TraceeEllisRoss @SnoopDogg @kerrywashington to pledge to vote this November.\n\nTogether, WE can be the change WE want to see in the world. Register today ---&gt;\nhttps://t.co/IEmORUO3iL https://t.co/rRhscAOdOE\n', '. @thegeneralauto and I have made a lot of fun commercials over the years. This is one of my favorites. Which one do you like best?\nVideo: https://t.co/i5xSuWBhGk\n', 'https://t.co/037hjy2VfA\n', 'You guys know how much I love music. My friends at @thegeneralauto put together this awesome Summer playlist. What are some of your favorite Summer tunes? https://t.co/VRpRZdmfbZ https://t.co/TR1J6aBnjf\n', 'Whoopi we will make a difference. Love u\n', 'Tear It Up with @eliminatemusic OUT NOW on @disciplerecs🏀\nhttps://t.co/al3gYTG5n9 https://t.co/ESER4ygq46\n', 'Like all of our frontline workers, Kevin Morton is a true hero. To see how you can help us reach 1 million coffee shot donations through our First Responder program: https://t.co/VuxPCb63nI #fortopartner https://t.co/xzWoGW7aZv\n', 'We’re back!\nJoin me @dwyanewade, @candaceparker, and @adamlefkoe at 8pm ET on TNT https://t.co/kUa6WleptD\n', 'Dedicating this @RocketMortgage Shot For Heroes to the Boys and Girls Club of America. If you’ve got a hero you want to give a shout out to, share your video and use #ShotForHeroes https://t.co/4K80CbDQXD\n', '@RobGronkowski couldn’t hang in Sports Trivia presented by @BioSupplies. Special thanks to them for helping sanitize the studio with BioProtect which last for 90 days &amp; providing their alcohol free hand sanitizer  which kills germs for up to 6hrs! #sanitation https://t.co/smi8vZgwmg\n']",,SHAQ ,SHAQ ,"VERY QUOTATIOUS, I PERFORM RANDOM ACTS OF SHAQNESS ",Tue Nov 18 10:27:25 +0000 2008 ,"Orlando, FL ",15349596 ,692 ,142 ,,
1297437077403885568,[],,Jennifer Fishpaw ,JenniferFishpaw , ,Sun Aug 23 07:35:11 +0000 2020 , ,0 ,44 ,7 ,"['170861207', '23970102', '47293791', '29458079', '17995040', '259001548', '818876014390603776', '314792669', '21829541', '471672239']",[]
17685258,"['RT @realDonaldTrump: THANK YOU #RNC2020! https://t.co/SQXxesAU0i\n', ""Great takeaways from last night's Republican National Convention.\n\nhttps://t.co/JwquHxxSBP\n"", ""RT @KatrinaPierson: First night of #GOP convention delivers nearly six times more views than start of Democrats' event on C-SPAN livestream…\n"", 'RT @abby_draiss16: This is one of the most incredible videos I’ve seen.\n\nGod bless America 🇺🇸 #RNCConvention\n', 'RT @DanaPerino: Production of the rnc convention is very good so far. Impressive. Loved the quick roll call of the states.\n', 'Great work from the Parscale team. Very proud of our team and quality of work. Great night one so far! https://t.co/PmGZQkRZBZ\n', 'Can’t believe I have to watch the convention on @CNN. Unbelievable. @FoxNews\n', 'RT @DanScavino: https://t.co/GSoTm8HNSi\n', 'I just donated. Go win it! https://t.co/xjTBTMc6wl\n', 'RT @kimKBaltimore: Democrats don’t want you to see this.\n\nThey’re scared that I’m exposing what life is like in Democrat run cities.\n\nThat’…\n', 'The media wants you to believe that \u2066@realDonaldTrump\u2069 doesn’t believe in LEGAL vote by mail, he does!\n\nHere is an example.\n\nHe however doesn’t want automatic universal ballots full of errors and fraud. https://t.co/9YJqLOROTh\n', 'The war continues... #PaloAltoMafia https://t.co/Y6XT4b3BcQ\n', 'RT @GaryCoby: Bernie goes to the Grammys https://t.co/9Stc0bk7BQ\n', 'RT @TeamTrump: What happened to Joe Biden? https://t.co/jlmqp6En2V\n', ""RT @TrumpWarRoom: Here's John Kasich calling Joe Biden a liar in 2012. #DemConvention https://t.co/ep8eUQUHal\n"", 'RT @DanScavino: 🤣KASICH is still a LOSER! #MAGA2020\n', 'Is this the Democratic National Convention or a Hollywood award show?\n', 'RT @TeamTrump: President @realDonaldTrump: ""If Leftwing Democrats can’t run a city, why on earth would you let them run your country?"" http…\n', 'Another advantage of running the campaign so early. @GaryCoby brought this to me in 2019 and I quickly approved. We were leaps and bounds ahead of Slow Joe before he even knew he was running.\n\nhttps://t.co/yRUeeLw9ks\n', 'RT @bennyjohnson: Joe Biden has 7 grandkids https://t.co/Rsp9AIVaA7\n']",,Brad Parscale ,parscale ,Owner @ Parscale Strategy. Senior Advisor Digital & Data for @realdonaldtrump. Longest Presidential Campaign Manager in US History. Big Data Crusher. Innovator. ,Thu Nov 27 18:47:32 +0000 2008 ,Florida ,762839 ,475 ,953 ,"['46464108', '21536398', '18643437', '589490020', '1363683074', '1006482620', '138648277', '14344823', '711188856943411200', '171632862']","['1275068515666386945', '2535843469', '1293657591034327043', '1219693017071747072', '1011811239050108931', '115583588', '1297484262258745349', '1226195212965466124', '1156632886650392576', '1278326843750391809']"
15750898,"['A family fears they may have been cheated out of $20,000 in donations they raised to buy a golden retriever service dog for their son, who has autism. The non-profit they gave the money to has since disconnected its phone number. https://t.co/WYst8ZTEKR\n', 'KFC\'s slogan has been ""finger lickin\' good"" for 64 years. But the chain says it\'s dropping the catchphrase temporarily due to the coronavirus pandemic. https://t.co/mzdyJUE39K\n', 'WHOA! FWC researchers managed to capture a 100-pound Suwannee alligator snapping turtle near Gainesville, estimated to be up to 80 years old. After photographing and documenting the turtle, it was released back into the wild. https://t.co/tNC09tYKVS\n', 'RT @PaulFox13: Very sneaky, late-arriving #sunset, put on a show. 📷Jennifer Casares at Madeira Beach #Florida https://t.co/5deEDFMeip\n', 'RT @PaulFox13: Nice scene over #Sarasota this eve. 📷 LA Tichenor #Florida #sunset https://t.co/3Lmg7krcDK\n', 'HELLO THERE! 😂 This curious bird in Australia gave anyone watching this traffic camera a ""bird\'s eye view."" WATCH: https://t.co/LboHmMw7eg\n', ""RT @PaulFox13: Good lookin' Pass-a-Grille Beach #sunset. 📷 Scott Kingsley #Florida #Skytower https://t.co/7CADravN7x\n"", 'RT @PaulFox13: Fast moving showers and thunderstorms today included this shelf cloud that moved over Brooksville. 📷 Jessica Weikel #Florida…\n', 'The National Guard is being called into Kenosha, Wisconsin, after police apparently shot and wounded a Black man in the back as he leaned into his SUV. Rioters set fires to vehicles and businesses after video of the shooting spread online. https://t.co/rLFYCqJZFH\n', 'Police officers in Wisconsin responded to rioting when someone appeared to throw a brick at one officer\'s head. People could be heard yelling, ""He just got bricked"" as other officers tried to help the injured cop. (Warning: graphic video) https://t.co/s9PX2oraOM\n', 'RT @RaysBaseball: Series split\n\nWin No. 20 will have to wait another day https://t.co/gN7NHUYpzw https://t.co/aSQI5jeVcE\n', ""FALWELL RESIGNS: Jerry Falwell Jr. is resigning as president of Liberty University after claiming he was being extorted over his wife's affair. https://t.co/dmqFiqfFGi\n"", 'Democratic presidential nominee Joe Biden is promising no new taxes for small businesses or any Americans making less than $400,000 a year, but says he plans to raise taxes for those making over that because ""the very wealthy should pay a fair share."" https://t.co/KFp3eCFaV5\n', 'RT @PaulFox13: A SEVERE T-STORM WARNING has been issued...SkyTower Radar: https://t.co/0Yv1vXSZAk https://t.co/jypXj2K7Oj\n', 'RT @myfoxhurricane: 5pm updates for #Laura and #Marco: https://t.co/qUu0E5M2bl https://t.co/jKKphkNh4P\n', ""Sure, the SkyFOX Drone is usually looking down at some of Florida's beautiful 'We Live Here' sights. But sometimes the clouds can be just a gorgeous if you take the time to look up: https://t.co/HwZoxi7Erb\n"", 'RT @PaulFox13: Winds may gust over 40 mph in this group of thunderstorms rolling up the Bay. #Tampa #Skytower https://t.co/MxtwM1uG9n\n', 'NOW: @FloridaEA holds press conference after judge rules school-reopening order unconstitutional.\nWATCH LIVE: https://t.co/iXnZSThGqs\n', 'RT @PaulFox13: Strong thunderstorms rolling up the Bay and into Pinellas county. Expect gusty winds - heavy rain - frequent lightning. Will…\n', 'RT @JeffTewksFox13: The Subtlety and Nuance generated over time... @TomBrady pump fakes to his right to open up the middle of the field, @R…\n']",,FOX 13 Tampa Bay ,FOX13News ,"Bringing you the important stuff like breaking news & weather alerts. But also plenty of fun stuff, like sports updates and all those 'only-in-Florida' stories. ",Wed Aug 06 15:12:10 +0000 2008 ,"Tampa, FL ",327587 ,4801 ,2946 ,"['2324715174', '24030137', '2336676015', '192684124', '789650815', '2177831755', '21713472', '43710296', '1608956600', '378083197']","['855194021458739200', '1267566832598290432', '1290480067781332992', '1307737310', '1279902697991409664', '1293213004448833537', '893897330822438912', '1277460997163364353', '1282651967261741058', '1296297121902206977']"
1659167666,"['RT @VonteThePlug: Yeah but he ain’t got one happy song nigga always distraught 😂\n', 'RT @VonteThePlug: I’m tryna tell y’all I’m really like that but don’t take my word take a listen 😚🔥 https://t.co/1McoyAVcqh\n', 'RT @VonteThePlug: Available on all platforms go get it 👇🏾 it’s heat I swear 🔥🤧https://t.co/lRDn7UGwNI\n', 'RT @VonteThePlug: Boy fuck you\n', 'RT @VonteThePlug: Bodied Da Baby beat. Ight Twitter y’all know what to do 🔥 https://t.co/nLZAzQUziG\n', 'RT @VonteThePlug: J Cole is a Aquarius\nMichael Jordan is a Aquarius\nBob Marley is A Aquarius\nChris Rock is a Aqaurius\nKevin Gates is a Aqa…\n', 'RT @VonteThePlug: @gucci1017 @VonteThePlugNC https://t.co/LtOiiUCVcq\n', 'RT @VonteThePlug: In hindsight, I just know this nigga was from Atlanta. https://t.co/NAdaHryMC8\n', 'Don’t let me find a bitch like Love cause I promise we killing ERRBODY. Justifiably of course 🤗\n', 'RT @VonteThePlug: Why my beard don’t want me man 😭😭😭 https://t.co/kVp3Vi0oIU\n', 'RT @lennyvandross: Introducing the best chair in the world https://t.co/Zfk0bVcahE\n', 'RT @D_Joyce15: Idc what tf y’all got to say. MY son is not wearing a dress. Not y’all son but MY son isn’t. Argue with someone else. https:…\n', 'Can’t stop none of this pain you boudda feel cause I’m not God\n', 'If i push you away promise you’ll stay\n', 'Somehow every bitch I date is emotionally retarded https://t.co/ijNf1MZw3m\n', 'Got me listening to Rihanna bitch I should kill you\n', 'I mean you kinda right 🤷🏾\u200d♂️ https://t.co/TYp6eirVSN\n', 'Gon tell my kids this was Moses https://t.co/zyN0ZfM7od\n', '*06-09 https://t.co/G7ZpjwyobM\n', 'Finna hit 3k click and watch this mf one more time 💪🏾 https://t.co/6e22ZSiz7X\n']",,Vonte The Plug 🎤🔌 ,VonteThePlugNC ,MOTIVATION 3 OUT NOW 🔥 Singles: ‘Lil Shawdy’ & ‘You Know How I’m Coming’ Available now on ALL PLATFORMS ,Sat Aug 10 03:25:35 +0000 2013 ,"Jacksonville Beach, FL ",13324 ,647 ,729 ,"['1628313708', '726405625', '130868956', '26652768', '329721192', '2320792662', '1116993349712588800', '396721750', '450409264', '2394930295']","['893137540185718785', '1063858543', '26665819', '241640481', '235425056', '243412850', '18015033', '544303071', '248867144', '46571988']"
34743251,"['RT @elonmusk: Aloha, welcome back from space 💫 https://t.co/xWPN09Wtaw\n', 'RT @elonmusk: Ms Tree catches fairing in her net https://t.co/sqlJ63NetB\n', 'Falcon 9 launches 58 Starlink satellites and 3 @planetlabs SkySats – the first time a booster has completed six flights to and from orbit. More photos → https://t.co/095WHX44BX https://t.co/odVceUCS55\n', 'Deployment of 58 Starlink satellites confirmed https://t.co/c8u2WqaD1J\n', 'Ms. Tree caught a Falcon 9 fairing half! https://t.co/TFaJqIf1qT\n', 'All three @planetlabs SkySats have deployed https://t.co/9gDujACXTH\n', 'Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – first time a booster has completed six flights! https://t.co/A8bbTinGOA\n', 'Liftoff! https://t.co/q6t6QXO5Cl\n', 'Watch Falcon 9 launch 58 Starlink satellites and 3 @planetlabs SkySats → https://t.co/bJFjLCzWdK   https://t.co/rwWNM3njVQ\n', 'T-30 minutes until Falcon 9 launch. Webcast will go live ~10 minutes before liftoff  https://t.co/bJFjLCzWdK\n', 'Falcon 9’s booster supporting this mission previously launched Telstar 18 VANTAGE, Iridium-8, and three separate Starlink flights https://t.co/Dwc7EXFiiL\n', 'Targeting Tuesday, August 18 at 10:31 a.m. EDT for Falcon 9’s launch from Space Launch Complex 40 in Florida of 58 Starlink satellites and 3 @planetlabs spacecraft\n', 'RT @JimBridenstine: NEWS: @NASA &amp; @SpaceX are targeting no earlier than Oct. 23 for Crew Dragon’s first operational mission to the @Space_S…\n', 'Deployment of 57 Starlink satellites confirmed https://t.co/myKxr3QSTu\n', 'Both BlackSky satellites have been deployed\n', 'Falcon 9’s first stage has landed on the Of Course I Still Love You droneship https://t.co/szO3thMxqa\n', 'Liftoff! https://t.co/puG31v239X\n', 'Watch Falcon 9 launch SpaceX’s tenth Starlink mission → https://t.co/bJFjLCzWdK https://t.co/JEq6iThstT\n', 'T-30 minutes until Falcon 9 launches its tenth Starlink mission. Webcast will go live ~10 minutes before liftoff → https://t.co/bJFjLCzWdK\n', 'RT @elonmusk: SN5 https://t.co/GlZ28KFVHU\n']",,SpaceX ,SpaceX ,"SpaceX designs, manufactures and launches the world’s most advanced rockets and spacecraft ",Thu Apr 23 21:53:30 +0000 2009 ,"Hawthorne, CA ",12601567 ,96 ,177 ,,
27260086,"['So amazing to see what @yael and @CitizenApp are doing to help with covid. #milakunis with the voiceover https://t.co/kFL3jMCzi4\n', 'RT @paleycenter: Take a #PaleyFest behind-the-scenes look at Seasons with @justinbieber, @haileybieber, @poobear, @joshgudwin, @scooterbrau…\n', 'Thanks @mtv #vmas. Vote https://t.co/Fo4hVwhCEY https://t.co/P0T4Owo5r6\n', 'New shows on sale 10am local. Presented by @tmobile https://t.co/AcBtIUse3H https://t.co/DGsSMXS6dv\n', 'Thanks @mtv for the noms\n', '@SB_Projects @MTV @ArianaGrande @bep @ddlovato @JBALVIN @YG @vmas Thanks everyone for the nominations.\n', '@TheAvenueBeat We love this song\n', 'New world tour dates for 2021. Looking forward to seeing you all when it is safe. Presented by @tmobile https://t.co/cuzPWEvcv0 https://t.co/npv4Ab5EfX\n', 'Bieber face https://t.co/ji7OK3n5o8\n', '. @poobear and I had a vision for this project and made it a reality. Thank you God for opening the right doors! Thank you to everyone else who made this project a reality! @joshgudwin @scooterbraun @allisonjamiekaye @djtayjames @harv https://t.co/FPb0Kxvt6v\n', 'RT @GlblCtzn: .@justinbieber and @QuavoStuntin are taking a stand with us to help everyone everywhere get the health care they need to beat…\n', 'Thanks for answering the call @JustinTrudeau . I’m a proud Canadian. Look forward to performance today @GlblCtzn https://t.co/RyTSipu7W1\n', '#GlobalGoalUnite concert 2pm est @GlblCtzn https://t.co/3KTIV9xgxy https://t.co/eKerSJgBNp\n', 'My big brother @usher just dropped #Icry \xa0- Proceeds from the record will be donated to\xa0\xa0@lisc_hq in support of Black-owned businesses.\xa0\xa0Also watch his performance Sat during @glblctzn’s\xa0\xa0#GlobalGoalUnite concert. #usher #icry #blacklivesmatter https://t.co/woXFblMwLL\n', 'RT @Usher: Listen at https://t.co/mEga8wKcoJ\n#icry #BLM #BlackLivesMatter https://t.co/apZ7cPRArJ\n', 'Happy birthday @ArianaGrande\n', 'RT @chartdata: .@justinbieber becomes the youngest male act to earn at least seven #1’s on the Pop Songs airplay chart as ""Intentions"" with…\n', 'I’m joining the #GlobalGoalUnite for Our Future concert on June 27th to combat the disproportionate impact COVID-19 has on communities of color and call on world leaders to make testing, treatments &amp; vaccines available to everyone everywhere https://t.co/3KTIV9xgxy https://t.co/vjRwcLNEBK\n', 'RT @colesprouse: False accusations do tremendous damage to victims of actual assault. Furthermore, I would never seek to silence anybody. I…\n', 'Every claim of sexual abuse should be taken very seriously and this is why my response was needed. However this story is factually impossible and that is why I will be working with twitter and authorities to take legal action.\n']",,Justin Bieber ,justinbieber , ,Sat Mar 28 16:41:22 +0000 2009 , ,112403156 ,295385 ,4532 ,,
57097104,"['flip flop trails #jklivin\u2060 @jklivinFNDN https://t.co/8Th5wFZhK8\n', 'Cecilio is #VERDE now https://t.co/7zOsWhFCyz\n', '#GrowtheLegend @AustinFC #VERDE https://t.co/Czsz9it5SM\n', 'https://t.co/exvTnqFqjT\n', 'Candy red and T-tops\n\n#greenlightsbook https://t.co/Nt4v63Kbwe\n', 'lets pull together\n@nih @niaidnews\nhttps://t.co/wBivUM39ek https://t.co/eA9C4BBPYL\n', 'inventory time @Lincoln @Calm\ntoday at 11am EST https://t.co/N0rKim6CN1 https://t.co/MwnWQFgNjj\n', 'talkin shop with Dr. Fauci\nIG Live - Thursday, August 13th, 6:30pm EST\nhttps://t.co/bn3etpjmhF https://t.co/Mu13FulcYw\n', 'ding, dong, ditch, look who’s back on the pitch… here we go @mls\n@austinfc https://t.co/OrWG5mES2K\n', 'find your frequency\n#greenlightsbook @jimmyfallon https://t.co/dD3IeMTiYT\n', 'https://t.co/1yMqKDIUHd https://t.co/vrmMDpIfW3\n', 'its a love letter. To life.\n#GreenlightsBook\nfind out more at https://t.co/WgBBklW8LD https://t.co/YgrhOWEWWY\n', 'Are you lit? #GreenlightsBook available now for preorder. info at https://t.co/WgBBklW8LD - On sale 10.20.20 https://t.co/6rwwqPL7rq\n', 'Tune in July 29th https://t.co/7JDMRDxZlI\n', 'cool article and even cooler, my kids took all the photos. @Austin_Monthly     https://t.co/u4rxpU6ytf https://t.co/DtC4pDgx1y\n', 'https://t.co/RbJAMTUiM1  @townandcountrymag\n@stellenevollandes\n@specialprojectsmedia\n#TandCPhilanthropy https://t.co/oB9hjZ0sfu\n', 'ASAP to central Texas https://t.co/DgHEiNrsoN\n', 'RT @AustinFC: #LISTOS.\n\nWelcome Rodney Redes, our first signing.\n\nhttps://t.co/6VmtpvyKc1 | #AustinFC\xa0| @MLS https://t.co/HOCE2xGu1r\n', '#VERDE @AustinFC https://t.co/diVB4pv9Ki\n', 'happy 244th birthday America https://t.co/S9R469Wot4\n']",,Matthew McConaughey ,McConaughey ,Official twitter page of Matthew McConaughey and the Just Keep Livin' Organization ,Wed Jul 15 18:37:11 +0000 2009 ,"Earth, Universe ",2656850 ,168 ,27 ,,
1297609266623217664,['https://t.co/KWnKV9F0fw\n'],,Richard Aldrich ,Richard37226643 ,l have a very goodlife with lots of good friends and fun. ,Sun Aug 23 19:00:42 +0000 2020 , ,4 ,66 ,0 ,"['47786101', '816683274076614656', '18166778', '25073877', '15745368', '21010214', '523248016', '20975060', '28628850', '79316376']","['1280331862825676805', '1172070454347145216', '1283752256848957442', '2279856378']"
207809313,"['एक राष्ट्र - एक राशन कार्ड की ओर अग्रसर भारत\n\n- राष्ट्रीय खाद्य सुरक्षा कानून के तहत 24 राज्यों के बीच राशन कार्ड पोर्टेबिलिटी सुविधा के साथ 65 करोड़ से अधिक लाभार्थियों को मिल रहा लाभ\n\n- 31 मार्च 2021 तक देश के सभी राज्यों को #OneNationOneRationCard योजना से जोड़ने का लक्ष्य https://t.co/PrnBDXHoUY\n', 'RT @JPNadda: गुजरात की पुण्यभूमि ने विश्व को शांति, एकता, अखंडता, कर्मठता एवं विकास का मार्ग दिखाया है।\n\nविश्व गुजराती दिवस के अवसर पर मैं…\n', 'Your contributions have begun to reach to the most needy.\n\n#PMCARES has allocated funds for two 500-bed COVID makeshift hospitals in Bihar, built by DRDO.\n\nThe hospitals will have 125 ICU beds with ventilator support, doctors &amp; paramedical staff.\n\nThank you! https://t.co/hkq7BWMuq2\n', 'मोदी सरकार के सुशासन और सबका साथ-सबका विकास-सबका विश्वास की नीति से आत्मनिर्भर बनने की दिशा में बढ़ चला है भारत।\n\nविभिन्न जन कल्याणकारी योजनाओं के प्रदर्शन का अपडेटेड ट्रैकर।\n\n#TransformingIndia https://t.co/Ndqa2XoY8B\n', 'कोरोना से लड़ाई में देश को मजबूती दे रहा पीएम केयर्स फंड\n\nबिहार में 2 कोविड-19 अस्पतालों के लिए आवंटित की धनराशि\n\nपटना और मुजफ्फरपुर में DRDO द्वारा बनाए गए 500-500 बेड के अस्पताल\n\nप्रत्येक अस्पताल में वेंटिलेटर युक्त 125 आईसीयू बेड और अक्सीजन सप्लाई वाले 375 सामान्य बेड होंगे https://t.co/V2MGkpqD3D\n', 'BJP workers should emphasize on youth, women, tribal people &amp; Dalits and bring them to the mainstream. Special efforts and drive should be there to bring the people at the grassroots to the BJP.\n\nAll our workers and state executive members are ambassadors and crusaders of change. https://t.co/4qpWW5GRTe\n', 'The previous education policy came in 1986 and prior to that, in 1968. The last time, the policy was just changed in figures and not in terms of content, policy and spirit.\n\nNow, we can say, it is for the first time that India has an independent education policy. https://t.co/jMXGVTwMke\n', 'BJP National President Shri @JPNadda pays tribute to the former Union Minister, Padma Vibhushan Shri Arun Jaitley on his first Punyatithi. He also inaugurated a blood donation camp at AIIMS as a mark of respect for Shri Jaitley. https://t.co/gbPI6Bp13B\n', 'RT @PMOIndia: These hospitals have 125 ICU beds with ventilators and 375 normal beds each. Each bed also has oxygen supply. The doctors and…\n', 'RT @PMOIndia: The 500 bed hospital at Bihta, Patna will be inaugurated today and the 500 bed hospital at Muzaffarpur will be inaugurated ve…\n', 'RT @PMOIndia: PM-CARES Fund Trust has decided to allocate funds for fight against COVID-19 by way of establishment of 500-bed COVID-19 Make…\n', 'We should emphasize on youth, women, tribal people, Dalits and people at the grassroots and we must try and bring them to the mainstream.\n\nSpecial efforts and drives should be there for empowering them: Shri @JPNadda https://t.co/PUGVFv6lUj\n', 'Exams in the current system is subjective. Students memorize things and write them down.\n\nBut now, conceptual and analytical approach will be put in place in the new education system: Shri @JPNadda https://t.co/1oBKK1Vdpi\n', 'Under NEP, rich and poor are both going to get qualitative and affordable education. Acceptability has also been improved as local languages are set to be used as mode of education till class 8: Shri @JPNadda\n', 'The last National Education Policy came in 1986 and in 1968 before that. It was just a change in figures, and no chance in policies and spirit.\n\nNow, we can say with full command, it is for the first time that India has an independent Education Policy under PM Modi: Shri @JPNadda\n', ""50,000 ventilators have been manufactured in India and they are in service today, helped by PM Modi.\n\nIndia had no facility to make PPE kits. By encouraging local entrepreneurs, we're producing 5 lakh PPE kits daily: Shri @JPNadda https://t.co/5O5AJ0ZdOO\n"", 'India, today, has over 1500 dedicated COVID hospitals, from zero when the pandemic started. Over 12.5 lakh COVID dedicated beds are also available today: Shri @JPNadda\n', 'Under the dynamic leadership of PM Modi, the nation got ready to fight COVID-19. He took a bold and timely decision to prepare the nation and 130 crore Indians to fight the pandemic: Shri @JPNadda\n', 'The lockdown was practically a lockdown for politically parties as well. However, BJP in Tamil Nadu continued to work for the needy and ensured that everyone got what they needed: Shri @JPNadda https://t.co/5DrKeJ3bxZ\n', ""In coming times, the BJP will have a substantial share in municipal and Vidhan Sabha elections. We've to increase our vote share in the state: Shri @JPNadda\n""]",,BJP ,BJP4India ,"Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा)  https://t.co/d1IYtw5taF ",Tue Oct 26 02:19:07 +0000 2010 ,"6-A, Deen Dayal Upadhyay Marg, ",14514819 ,3 ,0 ,"['18839785', '1447949844', '2990611686']","['1270288810404982785', '719543998990413825', '1297894141993660416', '1296030293199970304', '1297891866579316736', '1297737737068359686', '3318466525', '1282530584795820032', '1297778669734174720', '1297560048244154368']"
